date,caspiansea,eastern,markazi,persiangolf,qaraqom,urmia
2002-08-01,,,,,,
2002-09-01,,,,,,
2002-10-01,,,,,,
2002-11-01,,,,,,
2002-12-01,,,,,,
2003-01-01,-0.31127097955097677,-0.2861054982999208,-0.04665851838224974,0.049384431680562516,-0.3785296512502563,-0.3641902692369691
2003-02-01,0.24250440285679328,0.15430273858341972,0.3261686167041573,0.4053471169354342,0.11318505814330239,0.16822282578974154
2003-03-01,0.9409253469773186,0.6930151608042584,0.8538819726415147,0.7734126055938121,0.8456116362516121,0.9336676403396363
2003-04-01,1.2974323076307877,0.8889599345341321,1.1670883652496586,0.9400145358143249,1.3102479921571075,1.3205699248743867
2003-05-01,1.106639423253124,0.8720591089045949,1.1253483496223102,0.7881177711536762,1.4732279745782104,1.270012197465916
2003-06-01,0.7085227631550938,0.6087158824902861,0.8930958462562507,0.47773976862981327,1.2706808617748377,0.8974962800609388
2003-07-01,0.24917904873002084,0.32607333584002407,0.3867891149182418,-0.015990123047293657,0.9480312327383825,0.5817610121785591
2003-08-01,-0.2844021976176216,-0.08349581846377753,0.025963438377137278,-0.47052013094004286,0.6046703118158228,0.11528391797602636
2003-09-01,-1.2295821076388536,-0.9159380343282509,-0.8122780030038689,-1.2940578375888725,-0.213677765775008,-0.8712396217904695
2003-10-01,-1.730826469158464,-1.4376242215717623,-1.8046947614740987,-1.9327244157844623,-1.1687229256458351,-1.7130876368139383
2003-11-01,-1.125051911790646,-1.4213851429311777,-1.7503567063187349,-1.161075674056961,-1.5761937192269164,-1.471668049282935
2003-12-01,-0.3974778306362024,-0.9594113217305478,-0.6832982589598762,-0.07904146779735738,-1.2755444411276224,-0.7965598212583727
2004-01-01,0.26548146462132177,-0.19782833915079143,0.6376587926331008,0.7473385782022515,-0.20283440282188078,-0.043069569719810574
2004-02-01,0.461974362113994,0.1196371115068515,0.8612884348519494,0.9518831067001419,0.07498975914589945,0.3350821489768135
2004-03-01,1.0088960448388409,0.4558918283564193,1.1366753990214304,1.1191319878292445,0.7900270839412373,0.613418015775254
2004-04-01,1.4875033303871839,0.6450694508781749,1.45298402356384,1.270872389494886,1.191870185805192,1.1269490651419476
2004-05-01,1.2643932496048067,0.6319472309552897,1.4563397279724355,1.1434347227570782,1.2658951605144844,1.3723140678116255
2004-06-01,0.7681352534331922,0.44400324413889414,1.143143359928669,0.6328275423239419,1.1623996513641077,0.9767558407306743
2004-07-01,0.2882818826217285,-0.21638722419110187,0.15594624125551243,-0.26534431151683163,0.6265168433359015,0.484710262013368
2004-08-01,0.05162832548650502,-0.6034100554685411,-0.15428763656413066,-0.6559635242783619,0.4066933430428373,0.11612722702714864
